word,grade,pos,frequency,hint,explanation,source
μεγάλη,4,adjective,25,Η μεγάλη πόρτα ανοίγει δύσκολα.,,glossa-d-dim:επίθετο:-η
δίχτυ,4,noun,3,"Στην τάξη, γράφουμε τη λέξη που σημαίνει δίχτυ.",,glossa-d-dim
καθώς,4,noun,10,Τα παιδιά με θυμήθηκαν» φωνάζει καθώς ξετυλίγει με λαχτάρα.,,glossa-d-dim
υδραγωγείο,4,noun,7,Στο κείμενο υπάρχει η λέξη υδραγωγείο.,,glossa-d-dim
ψηθούν,4,verb,7,Τα κουλουράκια πρέπει να ψηθούν στον φούρνο σε μέτρια θερμοκρασία.,,glossa-d-dim
πότε,4,other,62,πότε αρχίζει το μάθημα;,,glossa-d-dim:ερωτηματική
πηγή,4,noun,13,Το νερό είναι πηγή ζωής.,,glossa-d-dim
πέντε,4,number,15,Το χέρι έχει πέντε δάχτυλα.,,glossa-d-dim:αριθμός
φελλούς,4,noun,2,"Στο σχολείο, μιλάμε για φελλούς.",,glossa-d-dim
Δευτέρα,4,noun,16,Η Δευτέρα είναι η πρώτη μέρα της σχολικής εβδομάδας.,,glossa-d-dim:ημέρα
τέσσερις,4,number,14,Έχουμε τέσσερις εποχές.,,glossa-d-dim:αριθμός
ευλογημένο,4,noun,8,"Είμαι το ευλογημένο νερό που καθαρίζει την ψυχή του ανθρώπου, είμαι το νερό της βάφτισης.",,glossa-d-dim
θαλασσινός,4,noun,4,"Στην τάξη, γράφουμε τη λέξη που σημαίνει θαλασσινός.",,glossa-d-dim
τσάντα,4,noun,12,"Η «τσάντα», άθραυστη και αδιάβροχη, αντέχει κάθε είδους κακομεταχείριση.",,glossa-d-dim
τρίγωνο,4,noun,9,Το τρίγωνο έχει τρεις πλευρές.,,glossa-d-dim:σχήμα
μόλις,4,noun,13,Ο ήρωας της Νέας Ορλεάνης ήταν μόλις έξι χρόνων.,,glossa-d-dim
αίθουσα,4,noun,6,"Όση ώρα διαρκούσε το μάθημα, ο παιδαγωγός έμενε στην αίθουσα διδασκαλίας.",,glossa-d-dim
γωνία,4,noun,13,"Οι φάκελοι σαν χάρτινη βροχή φτάνουν στα χέρια των παιδιών, σε κάθε γωνία του κόσμου.",,glossa-d-dim
φύλλο,4,noun,3,"Στο σχολείο, μιλάμε για φύλλο.",,glossa-d-dim
καθαριότητα,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει καθαριότητα.",,glossa-d-dim
καλοκαίρι,4,noun,24,Το καλοκαίρι κολυμπάμε στη θάλασσα.,,glossa-d-dim:εποχή
τέσσερα,4,number,14,Το τετράγωνο έχει τέσσερα πλευρές.,,glossa-d-dim:αριθμός
προστεθεί,4,verb,3,"Για ακόμη πιο υγιεινό φαγητό, το ελαιόλαδο πρέπει να προστεθεί στο τέλος του μαγειρέματος.",,glossa-d-dim
κύκλος,4,noun,25,Ο κύκλος είναι στρογγυλός.,,glossa-d-dim:σχήμα
προσπαθώντας,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει προσπαθώντας.",,glossa-d-dim
χειροκροτώντας,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: χειροκροτώντας.,,glossa-d-dim
φίλο,4,noun,12,Ο δάσκαλος ζήτησε από τα παιδιά να γράψουν για τον καλύτερό τους φίλο.,,glossa-d-dim
λείπει,4,verb,7,Τι λείπει για να καταλάβετε το νόημά της;,,glossa-d-dim
χρυσαφένιο,4,noun,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: χρυσαφένιο.,,glossa-d-dim
ποιήτρια,4,noun,4,Η ποιήτρια ταξιδεύει με τη φαντασία της στα νησιά του Αιγαίου.,,glossa-d-dim
εστιατορίων,4,noun,2,Οι τιμές των εστιατορίων ανεβαίνουν το καλοκαίρι.,,glossa-d-dim
ευκολότατο,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει ευκολότατο.",,glossa-d-dim
συνοδεύεται,4,noun,2,Το τραγούδι συνοδεύεται από κιθάρα.,,glossa-d-dim
υδραυλικός,4,noun,2,"Στο σχολείο, μιλάμε για υδραυλικός.",,glossa-d-dim
πλύσιμο,4,noun,3,"Στην τάξη, γράφουμε τη λέξη που σημαίνει πλύσιμο.",,glossa-d-dim
πλαστικά,4,noun,7,Πόσα πλαστικά μπουκάλια μιας χρήσης χρησιμοποιούνται από τους ανθρώπους σε τέσσερις μέρες;,,glossa-d-dim
κοπιάζοντας,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει κοπιάζοντας.",,glossa-d-dim
ωφέλιμο,4,noun,5,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: ωφέλιμο.,,glossa-d-dim
ώσπου,4,noun,5,ώσπου τελικά το πρόσωπό του φωτίζεται.,,glossa-d-dim
Σεπτέμβριος,4,noun,4,Τον Σεπτέμβριος ανοίγουν τα σχολεία.,,glossa-d-dim:μήνας
ψηλός,4,noun,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: ψηλός.,,glossa-d-dim
μήπως,4,other,14,μήπως ξέρεις τον δρόμο;,,glossa-d-dim:ερωτηματική
ύδρευση,4,noun,4,"Στην τάξη, γράφουμε τη λέξη που σημαίνει ύδρευση.",,glossa-d-dim
υδατοσφαίριση,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: υδατοσφαίριση.,,glossa-d-dim
υφαντό,4,noun,2,"Στο σχολείο, μιλάμε για υφαντό.",,glossa-d-dim
εργαλείο,4,noun,3,"Στην τάξη, γράφουμε τη λέξη που σημαίνει εργαλείο.",,glossa-d-dim
ωφέλιμος,4,noun,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: ωφέλιμος.,,glossa-d-dim
ανώφελος,4,noun,2,"Στο σχολείο, μιλάμε για ανώφελος.",,glossa-d-dim
μυρσίνη,4,noun,2,"Στο σχολείο, μιλάμε για μυρσίνη.",,glossa-d-dim
οφειλέτης,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει οφειλέτης.",,glossa-d-dim
υδρατμός,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: υδρατμός.,,glossa-d-dim
υδροπλάνο,4,noun,2,"Στο σχολείο, μιλάμε για υδροπλάνο.",,glossa-d-dim
υδρόβιος,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει υδρόβιος.",,glossa-d-dim
υδρόγειος,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: υδρόγειος.,,glossa-d-dim
υπερήφανα,4,noun,2,"Στο σχολείο, μιλάμε για υπερήφανα.",,glossa-d-dim
ωφέλεια,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει ωφέλεια.",,glossa-d-dim
τρία,4,number,21,Βλέπω τρία αστέρια.,,glossa-d-dim:αριθμός
κόκκινος,4,adjective,8,Ο κόκκινος κύκλος είναι ζωηρός.,,glossa-d-dim:χρώμα
ενενήντα,4,number,3,Το ενενήντα είναι πριν από το εκατό.,,glossa-d-dim:αριθμός
ποίηση,4,noun,6,"Στο σχολείο, μιλάμε για ποίηση.",,glossa-d-dim
τοίχοι,4,noun,6,"Στην τάξη, γράφουμε τη λέξη που σημαίνει τοίχοι.",,glossa-d-dim
προσεχτικά,4,noun,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: προσεχτικά.,,glossa-d-dim
κουτί,4,noun,5,"Στο σχολείο, μιλάμε για κουτί.",,glossa-d-dim
προτού,4,noun,5,"Στην τάξη, γράφουμε τη λέξη που σημαίνει προτού.",,glossa-d-dim
αξιότιμε,4,noun,2,"Στο σχολείο, μιλάμε για αξιότιμε.",,glossa-d-dim
κοντάρι,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει κοντάρι.",,glossa-d-dim
αφότου,4,noun,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: αφότου.,,glossa-d-dim
ωσότου,4,noun,3,"Στο σχολείο, μιλάμε για ωσότου.",,glossa-d-dim
οφειλή,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: οφειλή.,,glossa-d-dim
Ευρώπη,4,noun,11,Η Ελλάδα ανήκει στην Ευρώπη.,,glossa-d-dim:ήπειρος
ατμός,4,noun,7,Γίνομαι μικρές μικρές σταγόνες και ύστερα γίνομαι ατμός.,,glossa-d-dim
διαλυθεί,4,verb,2,Η ζάχαρη πρέπει να διαλυθεί στο νερό.,,glossa-d-dim
ζυμωθεί,4,verb,2,"Στο σχολείο, μιλάμε για ζυμωθεί.",,glossa-d-dim
χτυπηθούν,4,verb,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει χτυπηθούν.",,glossa-d-dim
πόσο,4,other,22,πόσο κάνει αυτό το βιβλίο;,,glossa-d-dim:ερωτηματική
μικρή,4,adjective,15,Η μικρή γάτα κοιμάται στο καλάθι.,,glossa-d-dim:επίθετο:-η
λύπη,4,noun,5,"Στην τάξη, γράφουμε τη λέξη που σημαίνει λύπη.",,glossa-d-dim
σιδερένια,4,noun,4,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: σιδερένια.,,glossa-d-dim
ψιλός,4,noun,2,"Στο σχολείο, μιλάμε για ψιλός.",,glossa-d-dim
κόκκινο,4,adjective,11,Το μήλο είναι κόκκινο.,,glossa-d-dim:χρώμα
τύχη,4,noun,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: τύχη.,,glossa-d-dim
βραχιόλι,4,noun,2,"Στο σχολείο, μιλάμε για βραχιόλι.",,glossa-d-dim
κινέζος,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: κινέζος.,,glossa-d-dim
κορδέλα,4,noun,2,"Στο σχολείο, μιλάμε για κορδέλα.",,glossa-d-dim
νοτιότερο,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει νοτιότερο.",,glossa-d-dim
Γαλλία,4,noun,10,Στη Γαλλία είναι το Παρίσι.,,glossa-d-dim:χώρα
αργά,4,noun,9,Πηγαίνει αργά – σα για να χαρεί περισ σότερο τη φύση και τον ανοιξιάτικο ήλιο.,,glossa-d-dim
πάλη,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει πάλη.",,glossa-d-dim
φύλο,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: φύλο.,,glossa-d-dim
χαλάζι,4,noun,6,"Στο σχολείο, μιλάμε για χαλάζι.",,glossa-d-dim
όποτε,4,noun,5,"Στην τάξη, γράφουμε τη λέξη που σημαίνει όποτε.",,glossa-d-dim
εξήντα,4,number,2,Η ώρα έχει εξήντα λεπτά.,,glossa-d-dim:αριθμός
καινούριο,4,adjective,7,Φόρεσα το καινούριο παλτό.,,glossa-d-dim:επίθετο:-ο
φθινόπωρο,4,noun,5,Το φθινόπωρο μαζεύουμε φύλλα στην αυλή.,,glossa-d-dim:εποχή
νότιο,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: νότιο.,,glossa-d-dim
όφελος,4,noun,2,"Στο σχολείο, μιλάμε για όφελος.",,glossa-d-dim
λευκός,4,adjective,12,Ο λευκός κύκνος κολυμπά στη λίμνη.,,glossa-d-dim:χρώμα
σεβασμιότατε,4,verb,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: σεβασμιότατε.,,glossa-d-dim
Σάββατο,4,noun,5,Το Σάββατο παίζουμε με τους φίλους μας.,,glossa-d-dim:ημέρα
χειμώνας,4,noun,5,Τον χειμώνας φοράμε ζεστά ρούχα.,,glossa-d-dim:εποχή
άνοιξη,4,noun,3,Την άνοιξη ανθίζουν τα δέντρα.,,glossa-d-dim:εποχή
ωραίο,4,adjective,4,Τι ωραίο σπίτι!,,glossa-d-dim:επίθετο:-ο
Ιούνιος,4,noun,3,Τον Ιούνιος τελειώνει το σχολείο.,,glossa-d-dim:μήνας
Τρίτη,4,noun,10,Την Τρίτη έχουμε γυμναστική.,,glossa-d-dim:ημέρα
πράσινος,4,adjective,9,Ο πράσινος βάτραχος κάθεται στο φύλλο.,,glossa-d-dim:χρώμα
μαύρος,4,adjective,9,Ο μαύρος σκύλος τρέχει στην αυλή.,,glossa-d-dim:χρώμα
άσπρος,4,adjective,7,Ο άσπρος τοίχος λάμπει στον ήλιο.,,glossa-d-dim:χρώμα
είκοσι εννιά,4,number,0,Το είκοσι εννιά είναι πριν από το τριάντα.,,glossa-d-dim:αριθμός
είκοσι τέσσερα,4,number,0,Το είκοσι τέσσερα είναι δύο δωδεκάδες.,,glossa-d-dim:αριθμός
Τουρκία,4,noun,4,Η Τουρκία είναι δίπλα στην Ελλάδα.,,glossa-d-dim:χώρα
Πέμπτη,4,noun,2,Την Πέμπτη γράφουμε ορθογραφία.,,glossa-d-dim:ημέρα
εννιά,4,number,5,Το εννιά είναι πριν από το δέκα.,,glossa-d-dim:αριθμός
Αμερική,4,noun,3,Η Αμερική είναι μια μεγάλη ήπειρος και χώρα.,,glossa-d-dim:χώρα
Τετάρτη,4,noun,2,Την Τετάρτη πάμε στη βιβλιοθήκη.,,glossa-d-dim:ημέρα
άσχημο,4,adjective,1,Το άσχημο σύννεφο φέρνει βροχή.,,glossa-d-dim:επίθετο:-ο
αδύνατος,4,adjective,1,Μετά την αρρώστια ήταν αδύνατος.,,glossa-d-dim:επίθετο:-ος
Οκτώβριος,4,noun,8,Τον Οκτώβριος πέφτουν τα φύλλα.,,glossa-d-dim:μήνας
αστέρι,4,noun,7,Το αστέρι λάμπει στον ουρανό.,,glossa-d-dim:σχήμα
μπλε,4,adjective,5,Ο ουρανός είναι μπλε.,,glossa-d-dim:χρώμα
πενήντα,4,number,2,Το πενήντα είναι μισό εκατό.,,glossa-d-dim:αριθμός
δεκατέσσερα,4,number,0,Δύο εβδομάδες έχουν δεκατέσσερα μέρες.,,glossa-d-dim:αριθμός
είκοσι έξι,4,number,0,Το είκοσι έξι έρχεται μετά το είκοσι πέντε.,,glossa-d-dim:αριθμός
Κυριακή,4,noun,7,Την Κυριακή τρώμε όλοι μαζί.,,glossa-d-dim:ημέρα
δεκαοχτώ,4,number,3,Στα δεκαοχτώ ψηφίζουμε.,,glossa-d-dim:αριθμός
δεκαεννιά,4,number,1,Το δεκαεννιά είναι πριν από το είκοσι.,,glossa-d-dim:αριθμός
έξι,4,number,7,Το ζάρι δείχνει έξι.,,glossa-d-dim:αριθμός
Ιούλιος,4,noun,3,Τον Ιούλιος πάμε διακοπές.,,glossa-d-dim:μήνας
Αύγουστος,4,noun,2,Τον Αύγουστος πολλές οικογένειες ταξιδεύουν.,,glossa-d-dim:μήνας
Μάρτιος,4,noun,8,Τον Μάρτιος αρχίζει η άνοιξη.,,glossa-d-dim:μήνας
Κύπρος,4,noun,1,Η Κύπρος είναι ένα μεγάλο νησί.,,glossa-d-dim:χώρα
Νοέμβρης,4,noun,1,Τον Νοέμβρη φυσάει δυνατά.,,glossa-d-dim:μήνας
είκοσι πέντε,4,number,0,Το ένα τέταρτο της εκατοντάδας είναι είκοσι πέντε.,,glossa-d-dim:αριθμός
Μάιος,4,noun,6,Τον Μάιος γιορτάζουμε την Πρωτομαγιά.,,glossa-d-dim:μήνας
είκοσι,4,number,2,Μετράω μέχρι το είκοσι.,,glossa-d-dim:αριθμός
είκοσι ένα,4,number,0,Μετά το είκοσι έρχεται το είκοσι ένα.,,glossa-d-dim:αριθμός
είκοσι δύο,4,number,0,"Μετράω: είκοσι, είκοσι δύο, είκοσι τρία.",,glossa-d-dim:αριθμός
είκοσι εφτά,4,number,0,Το είκοσι εφτά είναι πριν από το είκοσι οχτώ.,,glossa-d-dim:αριθμός
είκοσι οχτώ,4,number,0,Το είκοσι οχτώ είναι τέσσερις εβδομάδες.,,glossa-d-dim:αριθμός
είκοσι τρία,4,number,0,Το είκοσι τρία είναι μετά το είκοσι δύο.,,glossa-d-dim:αριθμός
εβδομήντα,4,number,0,Ο παππούς είναι περίπου εβδομήντα.,,glossa-d-dim:αριθμός
Αφρική,4,noun,5,Στην Αφρική ζουν λιοντάρια και ελέφαντες.,,glossa-d-dim:ήπειρος
Δεκέμβριος,4,noun,2,Τον Δεκέμβριος στολίζουμε το δέντρο.,,glossa-d-dim:μήνας
άσπρο,4,adjective,3,Το χιόνι είναι άσπρο.,,glossa-d-dim:χρώμα
κίτρινος,4,adjective,3,Ο κίτρινος ήλιος λάμπει.,,glossa-d-dim:χρώμα
πορτοκαλί,4,adjective,3,Το καρότο είναι πορτοκαλί.,,glossa-d-dim:χρώμα
παλιό,4,adjective,2,Το παλιό ποδήλατο σκουριάζει.,,glossa-d-dim:επίθετο:-ο
εφτά,4,number,10,Η εβδομάδα έχει εφτά μέρες.,,glossa-d-dim:αριθμός
δώδεκα,4,number,3,Ο χρόνος έχει δώδεκα μήνες.,,glossa-d-dim:αριθμός
γκρι,4,adjective,1,Το σύννεφο είναι γκρι.,,glossa-d-dim:χρώμα
Απρίλιος,4,noun,2,Τον Απρίλιος ανοίγουν πολλά λουλούδια.,,glossa-d-dim:μήνας
όρθιος,4,adjective,2,Ο μαθητής στέκεται όρθιος.,,glossa-d-dim:επίθετο:-ος
δεκαέξι,4,number,0,Στη γιορτή ήρθαν δεκαέξι παιδιά.,,glossa-d-dim:αριθμός
δεκαπέντε,4,number,0,Στα γενέθλιά μου έγινα δεκαπέντε.,,glossa-d-dim:αριθμός
ογδόντα,4,number,0,Η γιαγιά πλησιάζει τα ογδόντα.,,glossa-d-dim:αριθμός
σαράντα,4,number,0,Μέτρησα σαράντα καραμέλες.,,glossa-d-dim:αριθμός
τριάντα,4,number,0,Το τριάντα έρχεται μετά το είκοσι εννιά.,,glossa-d-dim:αριθμός
οχτώ,4,number,2,Το χταπόδι έχει οχτώ πόδια.,,glossa-d-dim:αριθμός
δεκατρία,4,number,1,Μετά το δώδεκα έρχεται το δεκατρία.,,glossa-d-dim:αριθμός
καφέ,4,adjective,4,Η σοκολάτα είναι καφέ.,,glossa-d-dim:χρώμα
Ιταλία,4,noun,3,Η Ιταλία έχει το σχήμα μπότας.,,glossa-d-dim:χώρα
μοβ,4,adjective,2,Το λουλούδι είναι μοβ.,,glossa-d-dim:χρώμα
έντεκα,4,number,0,Το ρολόι δείχνει έντεκα.,,glossa-d-dim:αριθμός
δεκαεφτά,4,number,0,Το δεκαεφτά έρχεται μετά το δεκαέξι.,,glossa-d-dim:αριθμός
Ασία,4,noun,1,Η Ασία είναι η μεγαλύτερη ήπειρος.,,glossa-d-dim:ήπειρος
δέκα,4,number,2,Μετράω μέχρι το δέκα.,,glossa-d-dim:αριθμός
εκατό,4,number,1,Μέτρησα μέχρι το εκατό.,,glossa-d-dim:αριθμός
τίνος,4,other,1,τίνος είναι αυτή η τσάντα;,,glossa-d-dim:ερωτηματική
αθήνα,4,noun,223,"Το ΠONTIKI», αθήνα, 1990, μετάφραση Ρούσσος Βρανάς.",,glossa-d-dim
παιδιά,4,noun,154,Τα παιδιά παίζουν στην αυλή.,,glossa-d-dim
νερό,4,noun,90,Κρατάει σάκα από νερό κι έχει μέσα τα βιβλία από σύννεφο κι αφρό.,,glossa-d-dim
χρησιμοποιούμε,4,verb,46,"Για να φτιάξουμε μια παρομοίωση, χρησιμοποιούμε τις λέξεις «σαν, όπως, λες και» κ.ά.",,glossa-d-dim
θάλασσα,4,noun,40,Κολυμπάμε στη θάλασσα το καλοκαίρι.,,glossa-d-dim
σχολείο,4,noun,89,"Κι έρχεται για να χτυπήσει μια πελώρια καμπάνα, το σχολείο για να αρχινήσει.",,glossa-d-dim
ποιες,4,noun,42,Συζητήστε στην τάξη: l Σε ποιες άλλες λατρευτικές εκδηλώσεις χρησιμοποιείται το νερό…,,glossa-d-dim
θέατρο,4,noun,47,Q Λέξεις που έχουν σχέση με το θέατρο.,,glossa-d-dim
παράσταση,4,noun,24,Αυτός όμως δεν έχει παρακολουθήσει ακόμα καμιά παράσταση.,,glossa-d-dim
μεταξύ,4,noun,22,Ήταν ενδιαφέρουσα η συζήτηση που έγινε μεταξύ των ομάδων;,,glossa-d-dim
κυλάω,4,verb,24,"Κι όταν γλιστρώ σε στρογγυλεμένα χαλίκια κι όταν κατρακυλώ σε απότομους βράχους, κυλάω…",,glossa-d-dim
ελιά,4,noun,49,Η ελιά δίνει καρπό κάθε χρόνο.,,glossa-d-dim
διαδίκτυο,4,noun,21,Aναζητήστε πληροφορίες στην εγκυκλοπαίδεια και στο διαδίκτυο και βρείτε κι άλλα…,,glossa-d-dim
τάξη,4,noun,60,"Η Πρώτη, η Δεύτερη και η Tρίτη τάξη είναι κάτω στο ισόγειο, δίπλα στην αυλή.",,glossa-d-dim
πρόσωπα,4,noun,14,Ποια πρόσωπα μιλούν σ’ αυτή την ιστορία;,,glossa-d-dim
αριθμός,4,noun,48,Ο αριθμός που έχει ένα ψηφίο.,,glossa-d-dim
γράψτε,4,noun,64,Βρείτε τη στο λεξικό σας και γράψτε τη σημασία της.,,glossa-d-dim
μπόμπιρας,4,noun,16,Ο Μπόμπιρας αρχίζει να μπαίνει στο παιχνίδι.,,glossa-d-dim
μέρα,4,noun,41,Κυλάω» έλεγε το τραγούδι του κάθε μέρα στον ήλιο.,,glossa-d-dim
γίνεται,4,noun,29,"Όσο μεγαλώνει, το καβούκι του/της γίνεται σκληρό.",,glossa-d-dim
ποιον,4,noun,21,Για ποιον δεν κράτησε τα μυστικά που του έδειξαν οι Νύμφες ο Αρισταίος;,,glossa-d-dim
υλικά,4,noun,16,Συζητήστε με τον διπλανό σας: G Ποια υλικά χρειαζόμαστε για να μαγειρέψουμε τα φασολάκια;,,glossa-d-dim
