word,grade,pos,frequency,hint,source
γάντια,2,noun,3,Φορώ ___ όταν κάνει κρύο.,glossa-b-dim
παντελόνι,2,noun,3,Φόρεσα το μπλε ___.,glossa-b-dim
γλωσσοδέτες,2,noun,12,Λέμε ___ γρήγορα και γελάμε.,glossa-b-dim
μπράβο,2,noun,2,Τα παιδιά φώναξαν ___ στον νικητή.,glossa-b-dim
ομπρέλα,2,noun,2,Πήρα την ___ γιατί βρέχει.,glossa-b-dim
πορτοκαλί,2,noun,7,Το καρότο είναι ___.,glossa-b-dim
αδιάβροχο,2,noun,3,Πήρε το ___ γιατί έβρεχε.,glossa-b-dim
αεροπλάνο,2,noun,3,Το ___ πέταξε πάνω από τα σύννεφα.,glossa-b-dim
ζακέτα,2,noun,3,Φόρεσε τη ___ στην αυλή.,glossa-b-dim
καράβι,2,noun,3,Το ___ σάλπαρε από το λιμάνι.,glossa-b-dim
βάτραχος,2,noun,2,Ο ___ κάνει πλάτς στο νερό.,glossa-b-dim
εγγονή,2,noun,2,Η γιαγιά αγκαλιάζει την ___.,glossa-b-dim
παππούς,2,noun,2,Ο ___ διαβάζει παραμύθια.,glossa-b-dim
σοκολάτα,2,noun,2,Έφαγε μια γλυκιά ___.,glossa-b-dim
πινέλο,2,noun,1,Ζωγραφίζω με το ___ και μπογιές.,glossa-b-dim
πράσινος,2,noun,1,Ο βάτραχος είναι ___.,glossa-b-dim
παραμύθι,2,noun,25,Η γιαγιά διάβασε ένα ___.,glossa-b-dim
ποίημα,2,noun,25,Απαγγείλαμε ένα ___ στην τάξη.,glossa-b-dim
άρπα,2,noun,3,Η ___ έχει πολλές χορδές.,glossa-b-dim
γραμματόσημα,2,noun,3,Κολλάμε ___ στον φάκελο.,glossa-b-dim
μουσείο,2,noun,16,Πήγαμε εκδρομή στο ___.,glossa-b-dim
ψώνια,2,noun,6,Κουβαλάμε τα ___ από την αγορά.,glossa-b-dim
φεγγάρι,2,noun,5,Το ___ φώτισε τη νύχτα.,glossa-b-dim
προσοχή,2,noun,14,Περνάμε τον δρόμο με ___.,glossa-b-dim
θάλασσα,2,noun,4,Κολυμπάμε στη ___ το καλοκαίρι.,glossa-b-dim
μήνυμα,2,noun,13,Άφησα ένα ___ στο τηλέφωνο.,glossa-b-dim
δασκάλα,2,noun,18,Η ___ έγραψε στον πίνακα.,glossa-b-dim
σαλιγκάρι,2,noun,3,Το ___ περπατά αργά στο φύλλο.,glossa-b-dim
κατάλογος,2,noun,4,Έγραψε έναν ___ με ψώνια.,glossa-b-dim
σπίτι,2,noun,34,Μήπως ήρθε η στιγμή να της χαρίσουμε ένα ___;,glossa-b-dim
άνθρωποι,2,noun,14,Πού νομίζεις ότι πηγαίνουν όλοι αυτοί οι ___;,glossa-b-dim
άκουσε,2,noun,5,O δάσκαλος το ___ και είπε στα παιδιά: «Τα χελιδόνια φεύγουν.,glossa-b-dim
ανθρώπους,2,noun,4,"Παρατηρούσε, λοιπόν, εδώ και λίγες μέρες τρεις ___ που περπατούσαν στην έρημο.",glossa-b-dim
αιώνα,2,noun,3,Φτιάχτηκε στα τέλη του 18ου ___.,glossa-b-dim
αιώνες,2,noun,3,"O Αίσωπος ήταν ένας σοφός άντρας, που έζησε πριν από πολλούς ___.",glossa-b-dim
ζωγράφιζαν,2,noun,2,Άλλοτε οι άνθρωποι ζούσαν στα σπήλαια και ___ ιστορίες πάνω στους βράχους.,glossa-b-dim
καιροί,2,noun,2,"Oι συμμαθητές του τον έβλεπαν με περιέργεια και έλεγαν: «Βρε, πώς αλλάζουν οι ___!",glossa-b-dim
νοικοκύρη,2,noun,2,Κλητική — κλέφτη ποιητή ___ 6 7 Διάβασε δυνατά το παρακάτω ποίημα.,glossa-b-dim
γράφονται,2,noun,6,"Πολλές φορές στις συσκευασίες οι μήνες ___ με αριθμούς: 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12.",glossa-b-dim
