word,grade,pos,frequency,hint,explanation,source
Ελλήνων,6,noun,6,Η σκλαβιά των Ελλήνων κράτησε πολλά χρόνια.,,Τεύχη 1+2
ελλειπτικές,6,noun,6,"Oι ελλειπτικές προτάσεις είναι πολύ συνηθισμένες, κυρίως στον προφορικό λόγο.",,Τεύχος 1
ελληνικής,6,noun,7,"Tαξιδεύοντας στην Eλλάδα, ντοκιμαντέρ ελληνικής παραγωγής, 2002 .",,Και τα τρία
εμφάνιση,6,noun,9,"Κοντολογίς, ήταν ένα αυτοκίνητο με δικό του χαρακτήρα και εμφάνιση προκλητική.",,Και τα τρία
ενδιαφέρων,6,noun,2,Είναι ένα ενδιαφέρον θέμα για συζήτηση.,,Τεύχος 3
ενότητας,6,noun,14,Το τέλος της ενότητας έχει ασκήσεις.,,Και τα τρία
επίσκεψης,6,noun,2,Η ημέρα της επίσκεψης στο μουσείο έφτασε.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 3
επαγγέλματα,6,noun,22,Yπάρχουν κάποια επαγγέλματα που έχουν εξαφανιστεί;,,Τεύχος 3
επαναλήψεις,6,verb,2,Οι επαναλήψεις βοηθούν στην απομνημόνευση.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 2
επειδή,6,noun,14,Aυτό συμβαίνει επειδή πολλά από αυτά που λέγονται ή γράφονται εννοούνται εύκολα.,,Και τα τρία
επιεικής,6,noun,2,Ο κριτής ήταν επιεικής με τους μαθητές.,,Τεύχος 3
εφημερίδα,6,noun,37,Eίστε υπάλληλος στην εφημερίδα Oι Mικρές Aγγελίες.,,Και τα τρία
εφημερίδες,6,noun,16,Οι εφημερίδες μοιάζουν με ορισμένα ρολόγια που έχουν τη μανία να πηγαίνουν μπροστά.,,Και τα τρία
ζωής,6,noun,22,Στη συνέχεια έγινε ο εφιάλτης της ζωής μου.,,Τεύχη 1+3
ζώων,6,noun,2,Η προστασία των ζώων είναι υποχρέωσή μας.,,Τεύχος 1
ηθοποιούς,6,noun,3,Οι ηθοποιοί υποκλίθηκαν στο τέλος.,,Τεύχος 3
ημέρα,6,noun,15,Διαβάσατε τα κάλαντα που τραγουδούν την ημέρα των Φώτων στην Iκαρία.,,Και τα τρία
ημερολόγιο,6,noun,9,Γράφω κάθε μέρα στο ημερολόγιο.,,Τεύχη 2+3
θέλεις,6,verb,11,Κόψε καρότο για δείκτες και ρύθμισέ τους στην ώρα που θέλεις.,,Και τα τρία
θέλετε,6,verb,19,θέλετε να διηγηθείτε με λίγα λόγια σε έναν φίλο σας την ιστορία που διαβάσατε.,,Και τα τρία
θαυμαστικά,6,noun,2,Τα θαυμαστικά δείχνουν έκπληξη ή ένταση.,,Τεύχος 1
θεσσαλονίκη,6,noun,8,Η Θεσσαλονίκη είναι μεγάλη πόλη.,,Τεύχη 1+3
θρεπτικό,6,noun,4,Το γάλα είναι θρεπτικό τρόφιμο.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 1
θυμηθείτε,6,noun,20,"θυμηθείτε, ακόμη, ότι χρησιμοποιούμε οριστική όταν μιλάμε για κάτι βέβαιο και πραγματικό.",,Και τα τρία
Ιούνιος,6,noun,5,Τον Ιούνιος τελειώνει το σχολείο.,,Τεύχη 2+3
ιστορίας,6,noun,25,Φανταστείτε ότι διηγείται το παρακάτω μέρος της ιστορίας σαν να συμβαίνει τώρα.,,Και τα τρία
ιστοσελίδα,6,noun,6,Σε ποια ιστοσελίδα σάς δίνεται η δυνατότητα να ζωγραφίσετε;,,Τεύχος 2
κάνετε,6,verb,24,"Tι θα κάνετε αυτές τις δυο μέρες, σύμφωνα με την ανακοίνωση;",,Και τα τρία
κάνουν,6,verb,23,"Έρχονται να με σκοτώσουν, να με κάνουν μαργαρίνη και μπανέλες!",,Και τα τρία
κάποιες,6,noun,10,Κάποιες λέξεις γράφονται με η.,,Και τα τρία
κάποιον,6,noun,25,Η αφήγηση στο απόσπασμα γίνεται από κάποιον μεγάλο ή από ένα παιδί;,,Και τα τρία
καθημερινή,6,noun,10,Η καθημερινή άσκηση κάνει καλό στην υγεία.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Και τα τρία
καθόλου,6,noun,12,Το ποσό όμως δεν ήταν καθόλου ευκαταφρόνητο.,,Και τα τρία
καλύτερα,6,noun,16,Τι θα μπορούσα να έχω γράψει καλύτερα;,,Και τα τρία
κατοικία,6,noun,10,Στο κρυπτόλεξο κρύβονται 8 λέξεις που έχουν σχέση με την κατοικία.,,Τεύχος 1
καφενεία,6,noun,24,Το χωριό μου τότε είχε πολλά και ωραία καφενεία.,,Τεύχος 2
κοινόχρηστος,6,noun,2,Ο κοινόχρηστος χώρος πρέπει να μένει καθαρός.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 1
κοντά,6,noun,15,Το πάρκο είναι κοντά στο σχολείο.,,Και τα τρία
κυρίως,6,noun,26,"Χαλαρώνετε στα καφενεδάκια και τις ταβέρνες του χωριού, κυρίως όμως χαίρεστε τη φύση.",,Και τα τρία
κύριος,6,noun,21,Ο κύριος μας χαιρέτησε στον δρόμο.,,Και τα τρία
λάμπης,6,noun,15,"Την τελευταία νύχτα εκείνου του Οκτώβρη ήρθε κι ο λάμπης, ο μικρός γιος του νυχτοφύλακα.",,Τεύχος 3
λείπουν,6,verb,15,Στη συνέχεια συμπληρώνω όλα όσα λείπουν για να είναι το γραπτό μου πλήρες.,,Και τα τρία
λεπτομέρεια,6,noun,3,Πρόσεξε κάθε λεπτομέρεια στο σχέδιο.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχη 1+3
λύπη,6,noun,3,Ένιωσε λύπη για τον φίλο του.,,Τεύχος 1
μάθαμε,6,verb,3,Μάθαμε πολλά καινούρια πράγματα σήμερα.,,Τεύχος 3
μάτια,6,noun,27,"O σταθμός του Πολυτεχνείου συμβουλεύει: «Bάλτε λεμόνι στα μάτια σας, μην τα τρίβετε».",,Και τα τρία
μέγεθος,6,noun,3,Το μέγεθος του πίνακα είναι μεγάλο.,,Τεύχη 1+3
μέρες,6,noun,26,"Tι θα κάνετε αυτές τις δυο μέρες, σύμφωνα με την ανακοίνωση;",,Και τα τρία
μέρος,6,noun,41,"Στο εξωτερικό του αυτοκινήτου, ποιο μέρος περιγράφεται πρώτα και ποιο μετά;",,Και τα τρία
μέτωπο,6,noun,4,"Nικηφόρος Bρεττάκος, Ένας στρατιώτης μουρμουρίζει στο αλβανικό μέτωπο (σελ.",,Και τα τρία
μακριά,6,noun,9,Οι γεί τονες μπορεί να βρίσκονται χιλιόμετρα μακριά.,,Και τα τρία
μαλλιά,6,noun,6,Δεν ήξερα καμιά γυναίκα στο νησί να φοράει λουλούδια στα μαλλιά.,,Τεύχη 2+3
μαμά,6,noun,29,"Tο Σουέζ, την Πόλη και τον Παναμά, ως να με φωνάξει για φαΐ η μαμά.",,Τεύχη 1+2
μεγάλο,6,noun,30,Η αφήγηση στο απόσπασμα γίνεται από κάποιον μεγάλο ή από ένα παιδί;,,Και τα τρία
μερικά,6,noun,12,Μερικά παιδιά έμειναν στην αυλή.,,Και τα τρία
μεταξύ,6,noun,23,Υπάρχει φιλία μεταξύ των συμμαθητών.,,Και τα τρία
μηχάνημα,6,noun,24,O Xαραλάμπης έτρεχε από το ένα μηχάνημα στο άλλο.,,Τεύχος 2
μουσεία,6,noun,15,Είναι ένα από τα 4-5 μουσεία του είδους σε όλο τον κόσμο.,,Τεύχη 2+3
μουσείο,6,noun,38,Πήγαμε εκδρομή στο μουσείο.,,Τεύχη 1+3
μουσική,6,noun,57,"Θα κάτσω σπίτι, στίχοι, μουσική Λ.",,Και τα τρία
μπαμπάς,6,noun,17,Τότε μπήκε στην κουζίνα ο μπαμπάς και άρχισε τις παρατηρήσεις.,,Και τα τρία
μπορούσα,6,noun,11,Τι θα μπορούσα να έχω γράψει καλύτερα;,,Και τα τρία
μόλις,6,noun,27,"Αυτές αρχίζουν συνήθως με τις λέξεις όταν, αφού, πριν, μόλις.",,Και τα τρία
μύτη,6,noun,5,"Πρόσωπο (μάτια, χείλη, μύτη, μέτωπο, μαλλιά)",,Τεύχη 1+2
νερό,6,noun,29,"ΚΥΡΑ-ΒΑΓΓΕΛΙΩ: Και ψωμί, και νερό, και φρούτα!",,Και τα τρία
νεότερης,6,noun,2,Ανήκει στη νεότερη γενιά συγγραφέων.,,Τεύχος 3
νομίζετε,6,verb,23,Τι νομίζετε για αυτή την ιδέα;,,Και τα τρία
ντοκιμαντέρ,6,noun,12,Είδαμε ένα ντοκιμαντέρ για τη φύση.,,Τεύχη 1+3
νύχτα,6,noun,19,Στις δύο μαρτυρίες οι ομιλητές περιγράφουν τι είδαν και τι έκαναν εκείνη τη νύχτα.,,Και τα τρία
ξέρουμε,6,verb,11,ξέρουμε ότι ο λευκός άνθρωπος δεν καταλαβαίνει τα ήθη μας.,,Και τα τρία
ξέρω,6,verb,9,"ξέρω το πρόσχαρο ακρογιάλι όλο το κύμα το φιλεί, κρινόσπαρτ’ είναι η αμμουδιά του.",,Και τα τρία
ξαναλέει,6,verb,2,Kι αυτή η φωνή του αγοριού που λέει και ξαναλέει: Eδώ Πολυτεχνείο.,,Τεύχη 1+2
ξεχάσετε,6,verb,21,Μην ξεχάσετε τα βιβλία σας.,,Και τα τρία
οδηγίες,6,noun,34,Διάβασε προσεκτικά τις οδηγίες.,,Τεύχη 1+2
ομάδα,6,noun,25,Κερδίζει βέβαια η ομάδα που θα βρει τις περισσότερες.,,Και τα τρία
ομάδες,6,noun,20,Χωριστείτε σε τέσσερις ομάδες και βρείτε τέτοιες λέξεις μέσα στο κείμενο.,,Και τα τρία
οχημάτων,6,noun,2,Η κυκλοφορία των οχημάτων αυξήθηκε.,,Τεύχος 1
πάει,6,verb,24,"Στην Iνδία, στο Bόλγα, στο Mισσισσιππή τρέχει το καράβι μου, πάει αστραπή.",,Και τα τρία
πάσχα,6,noun,22,"Oι χασάπηδες έρχονταν μια φορά τον χρόνο, κάθε πάσχα.",,Και τα τρία
πάω,6,noun,3,πάω να τον αγγίξω και κολλάω.,,Τεύχος 2
πίνακα,6,noun,37,"Ας θυμηθούμε πώς κλίνονται τα επίθετα σε -ης, -ης, -ες συμπληρώνοντας τον πίνακα.",,Και τα τρία
πίσω,6,verb,23,"πίσω απ’ του κισσού μας τη χλωρή κουρτίνα, έγια μόλα, βάζω πλώρη για την Kίνα.",,Και τα τρία
παράδειγμα,6,noun,35,"Για παράδειγμα, λέει: «ένα παμπάλαιο αυτοκίνητο που έμοιαζε με οβίδα».",,Και τα τρία
παράσταση,6,noun,22,Παρακολουθήσαμε μια ωραία παράσταση στο θέατρο.,,Τεύχη 1+3
παραγράφους,6,noun,8,Οργάνωσα το γραπτό μου σε παραγράφους;,,Και τα τρία
παραγωγής,6,noun,16,Η γραμμή παραγωγής δουλεύει συνεχώς.,,Και τα τρία
Παρασκευή,6,noun,8,Την Παρασκευή ανυπομονούμε για το Σαββατοκύριακο.,,Και τα τρία
παρατακτική,6,noun,5,Στην παρατακτική σύνδεση οι προτάσεις είναι ισότιμες.,,Τεύχη 2+3
παρεξήγηση,6,noun,2,Ζήτησε συγγνώμη για την παρεξήγηση.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 1
παρουσίαση,6,noun,9,Τώρα είστε έτοιμοι για την παρουσίαση!,,Και τα τρία
πατέρας,6,noun,17,Ζούσε μαζί μας ο πατέρας κι είχαμε ένα λαγωνικό που το λέγανε Ντικ.,,Και τα τρία
περίπτωση,6,noun,8,Eσείς διαλέξτε ποιος είναι ο πιο σωστός για την κάθε περίπτωση!,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Και τα τρία
περιληπτικά,6,noun,8,"Θέλετε να διηγηθείτε και να γράψετε το κείμενό σας με λιγότερα λόγια, περιληπτικά;",,Και τα τρία
περισσότερα,6,noun,12,Θέλω να μάθω περισσότερα για την ιστορία.,,Και τα τρία
περισσότερες,6,noun,16,Κερδίζει βέβαια η ομάδα που θα βρει τις περισσότερες.,,Και τα τρία
περισσότερους,6,noun,5,Χρειάζονται περισσότερους εθελοντές.,,Τεύχη 2+3
πιστεύετε,6,verb,16,Ποιο διαμέρισμα πιστεύετε ότι θα διάλεγαν από τις αγγελίες του βιβλίου σας;,,Και τα τρία
πλήρες,6,noun,8,Στη συνέχεια συμπληρώνω όλα όσα λείπουν για να είναι το γραπτό μου πλήρες.,,Και τα τρία
πλευρό,6,noun,4,Πονάει το πλευρό του μετά τον αγώνα.,,Τεύχη 2+3
ποδήλατο,6,noun,11,Είδατε σε μια βιτρίνα το ποδήλατο των ονείρων σας.,,Και τα τρία
ποιους,6,noun,26,Mε ποιους τρόπους ζητούν από τον ελληνικό λαό να τους βοηθήσει;,,Και τα τρία
πολλή,6,noun,7,"Δεν πέρασε πολλή ώρα και η φωτιά έφτασε στα χαρτόκουτα, τα οποία άρπαξαν αμέσως.",,Και τα τρία
πολλοί,6,noun,11,"Εξάλλου, πολλοί από τους κοινούς μεζέδες δεν είναι μαγειρεμένοι.",,Και τα τρία
πολυτεχνείο,6,noun,20,Aπό δω και τρεις μέρες οι φοιτητές κατέλαβαν το πολυτεχνείο.,,Τεύχος 1
πολυτεχνείου,6,noun,13,Tο ποίημα αναφέρεται στις τρεις μέρες των γεγονότων του πολυτεχνείου το 1973.,,Τεύχος 1
προβλήματα,6,noun,8,Τα προβλήματα λύνονται με συζήτηση και υπομονή.,,Και τα τρία
προσεκτικά,6,noun,20,Διαβάσατε προσεκτικά το άρθρο της εφημερίδας;,,Και τα τρία
προσκλήσεις,6,verb,3,Έστειλαν τις προσκλήσεις για τη γιορτή.,,Τεύχος 3
προσπαθήστε,6,noun,15,Προσπαθήστε να λύσετε την άσκηση.,,Και τα τρία
προσφυγάκι,6,noun,7,Και του τα εξήγησε όλα το μικρό προσφυγάκι.,,Τεύχος 3
προτού,6,noun,4,Πλύσου τα χέρια προτού φας.,,Τεύχη 1+2
πρωί,6,noun,20,Το πρωί πίνουμε γάλα.,,Και τα τρία
πρωτεύων,6,noun,2,Ο πρωτεύων ρόλος ανήκει στον αφηγητή.,,Τεύχος 3
πρόγραμμα,6,noun,9,"Τέλος, καλό είναι να μοιράσετε στην είσοδο της εκδήλωσης ένα πρόγραμμα σε κάθε επισκέπτη.",,Τεύχος 3
πρόσωπα,6,noun,29,Τα πρόσωπα των ηρώων είναι γνωστά.,,Και τα τρία
πρώτα,6,noun,28,πρώτα αναφέρει αυτό που περιγράφεται: «ένα παμπάλαιο αυτοκίνητο...».,,Και τα τρία
πόλη,6,noun,38,"Tο Σουέζ, την πόλη και τον Παναμά, ως να με φωνάξει για φαΐ η μαμά.",,Και τα τρία
ραδιόφωνο,6,noun,6,Άκουγε μουσική στο ραδιόφωνο.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχη 1+2
σήματα,6,noun,7,Τα σήματα της τροχαίας είναι σημαντικά.,,Τεύχος 2
σήμερα,6,noun,37,Γνωρίζετε ποιο είναι το νόμισμά της σήμερα;,,Και τα τρία
σίδερο,6,noun,4,Το σίδερο σκουριάζει με την υγρασία.,,Τεύχη 1+3
σαφής,6,noun,2,Η εξήγησή του ήταν σαφής και απλή.,,Τεύχος 3
σημαίνει,6,verb,8,Εγώ δεν καταλαβαίνω τελείως τι σημαίνει αυτό.,,Και τα τρία
σημασία,6,noun,22,Mπορείτε να βρείτε τη σημασία τους στο λεξικό;,,Και τα τρία
σημεία,6,noun,20,"Επίσης, θα βρει πληροφορίες για αυτά τα μέρη, ώστε στα ωραιότερα σημεία να κάνετε στάσεις.",,Και τα τρία
σκηνοθέτη,6,noun,6,Ο σκηνοθέτης έδωσε οδηγίες στους ηθοποιούς.,,Τεύχος 3
στίχοι,6,noun,49,"Θα κάτσω σπίτι, στίχοι, μουσική Λ.",,Και τα τρία
σταυρού,6,noun,2,Το σχήμα του σταυρού είναι συμβολικό.,,Τεύχος 3
σταυρό,6,noun,4,O ραδιοφωνικός σταθμός κάνει έκκληση προς τον Eρυθρό σταυρό.,,Τεύχη 1+3
στοιχεία,6,noun,27,Ποια στοιχεία δείχνουν πώς ήταν η ζωή του ποιητή μέσα σ’ αυτό;,,Και τα τρία
συγγενής,6,noun,5,Ένας συγγενής σας θέλει να σας το αγοράσει.,,Και τα τρία
συγγενικές,6,noun,9,Οι συγγενικές λέξεις έχουν κοινή ρίζα.,,Τεύχος 2
συγκίνηση,6,noun,3,Η συγκίνηση φαινόταν στο πρόσωπό της.,,Τεύχη 1+2
συγκριτικός,6,noun,2,Ο συγκριτικός βαθμός συγκρίνει δύο πράγματα.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,Τεύχος 1
συμβαίνει,6,verb,21,Φανταστείτε ότι διηγείται το παρακάτω μέρος της ιστορίας σαν να συμβαίνει τώρα.,,Και τα τρία
συμβουλευτείτε,6,noun,11,"συμβουλευτείτε τις οδηγίες στην ενότητα της 17ης Nοέμβρη (α΄ τεύχος, σελ.",,Και τα τρία
συμπληρώνω,6,verb,8,Στη συνέχεια συμπληρώνω όλα όσα λείπουν για να είναι το γραπτό μου πλήρες.,,Και τα τρία
συνέντευξη,6,noun,11,Πάρτε συνέντευξη από όσους έχουν καταγωγή από τη Μικρά Ασία (από γονείς ή παππούδες).,,Τεύχη 1+3
συνήθως,6,noun,28,"Ο Πασπαρτού, που συνήθως ήταν κοκκινωπός, είχε γίνει κάτασπρος από την αγωνία.",,Και τα τρία
συναισθήματα,6,noun,28,Έχει αλλάξει κάτι στα συναισθήματα τους;,,Και τα τρία
συνεχής,6,noun,2,Ακούγεται ένας συνεχής θόρυβος από έξω.,,Τεύχος 3
συνθέτη,6,noun,3,Ο συνθέτης έγραψε μια νέα μελωδία.,,Τεύχος 3
συνθήκες,6,noun,6,Οι συνθήκες εργασίας βελτιώθηκαν.,,Και τα τρία
συσκευές,6,noun,21,Οι περισσότερες συσκευές συνοδεύονται από οδηγίες χρήσης.,,Τεύχη 2+3
συχνά,6,noun,24,Χρησιμοποίησα πολλές διαφορετικές λέξεις ή έχω επαναλάβει συχνά τις ίδιες λέξεις;,,Και τα τρία
συχνή,6,noun,2,Η συχνή ανάγνωση βελτιώνει το λεξιλόγιο.,,Τεύχος 1
